source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
54, 1001, 686, 10339783, 14, 314, 231, 63, 39, 396, 0.963735, 0.903281, 1, 1, 0.635144, 197, 0, 0, 0, 0, 1, 0
39, 998, 711, 10339783, 14, 396, 314, 231, 256, 350, 1, 1, 0.964023, 0.861015, 0.858196, 197, 1, 0, 0, 1, 1, 0
314, 998, 780, 10339783, 14, 197, 256, 350, 396, 329, 1, 0.968642, 0.965471, 1, 1, 197, 0, 0, 1, 1, 1, 0
39, 998, 711, 10340145, 15, 396, 314, 231, 256, 350, 1, 1, 0.963986, 0.860981, 0.858163, 197, 1, 0, 0, 1, 1, 0
314, 998, 780, 10340145, 15, 197, 256, 350, 396, 329, 1, 0.968604, 0.965433, 1, 1, 197, 0, 0, 1, 1, 1, 0
396, 1001, 812, 10340145, 15, 256, 197, 350, 329, 10000000, 1, 0.964821, 0.965433, 1, 0, 197, 0, 0, 1, 1, 1, 0
350, 987, 801, 10340455, 16, 197, 256, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 197, 0, 0, 1, 1, 1, 0
256, 980, 801, 10340455, 16, 197, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 197, 0, 1, 1, 1, 1, 0
329, 1001, 812, 10340455, 16, 256, 197, 350, 396, 10000000, 1, 0.964789, 0.965401, 1, 0, 197, 0, 0, 1, 1, 1, 0
396, 1001, 812, 10340455, 16, 256, 197, 350, 329, 10000000, 1, 0.964789, 0.965401, 1, 0, 197, 0, 0, 1, 1, 1, 0
57, 890, 798, 10347232, 14, 256, 231, 329, 51, 350, 1, 0.901259, 0.863051, 0.843023, 0.643133, 197, 0, 1, 1, 0, 1, 0
256, 980, 801, 10347232, 14, 197, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 197, 0, 1, 1, 1, 1, 0
51, 920, 801, 10347503, 15, 197, 256, 350, 396, 329, 1, 0.967838, 1, 1, 1, 197, 0, 0, 1, 1, 1, 0
256, 980, 801, 10347503, 15, 197, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 197, 0, 1, 1, 1, 1, 0
350, 987, 801, 10347503, 15, 197, 256, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 197, 0, 0, 1, 1, 1, 0
329, 1001, 812, 10347503, 15, 256, 197, 350, 396, 10000000, 1, 0.964061, 0.964672, 1, 0, 197, 0, 0, 1, 1, 1, 0
8, 91, -1, 11299999, 1, 448, 344, 449, 425, 436, 1, 0.965164, 0.955906, 0.946408, 1, 256, 1, 1, 1, 1, 1, 0
436, 187, 1, 11300200, 2, 448, 405, 351, 380, 200, 1, 1, 1, 0.723946, 1, 256, 1, 1, 1, 1, 0, 0
449, 201, 12, 11300200, 2, 365, 98, 200, 7, 124, 0.968918, 1, 0.860268, 0.971509, 1, 256, 1, 0, 0, 0, 0, 0
344, 201, 12, 11300200, 2, 365, 98, 253, 7, 124, 0.949392, 1, 0.759646, 0.971509, 1, 256, 1, 0, 0, 0, 0, 0
448, 212, -1, 11300200, 2, 150, 62, 7, 124, 98, 0.963985, 1, 1, 1, 0.864342, 256, 0, 0, 0, 0, 0, 1
124, 201, 62, 11300614, 3, 408, 365, 267, 335, 253, 1, 0.605543, 0.215602, 0.324127, 0.636064, 256, 1, 1, 1, 1, 0, 1
7, 293, -1, 11300614, 3, 413, 380, 341, 303, 466, 1, 0.963979, 0.940258, 0.964759, 0.825132, 256, 1, 1, 1, 0, 1, 0
62, 305, 1, 11300614, 3, 157, 258, 292, 466, 413, 1, 1, 1, 1, 1, 256, 0, 0, 0, 1, 1, 1
413, 401, 12, 11304815, 4, 264, 346, 48, 159, 157, 1, 0.724029, 0.859942, 1, 1, 256, 0, 1, 0, 0, 0, 0
466, 401, 12, 11304815, 4, 418, 264, 100, 48, 159, 0.795966, 0.759368, 0.860661, 0.859942, 1, 256, 1, 0, 0, 0, 0, 0
292, 426, -1, 11304815, 4, 359, 321, 423, 374, 432, 0.483955, 0.240878, 0.322923, 0.482631, 0.323936, 256, 1, 1, 1, 1, 1, 0
157, 460, -1, 11304815, 4, 359, 423, 374, 432, 315, 0.826964, 0.822024, 0.701048, 0.568734, 0.215771, 256, 1, 1, 1, 1, 1, 1
359, 587, 1, 11305099, 5, 184, 91, 12, 463, 156, 0.935333, 1, 0.945613, 1, 1, 256, 0, 0, 0, 1, 0, 1
432, 601, 12, 11305099, 5, 184, 91, 156, 384, 289, 0.963572, 1, 1, 0.697351, 0.645238, 256, 0, 0, 0, 1, 1, 0
156, 601, 57, 11305474, 6, 184, 91, 289, 384, 12, 0.863405, 1, 0.752747, 0.645674, 0.794729, 256, 0, 0, 0, 1, 0, 0
12, 598, 98, 11305474, 6, 114, 384, 289, 420, 334, 0.970633, 1, 1, 0.862725, 0.8606, 256, 0, 1, 0, 1, 1, 0
184, 598, 134, 11305475, 6, 114, 291, 420, 334, 138, 1, 0.968414, 1, 1, 0.86409, 256, 0, 1, 1, 1, 0, 1
