source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5,pri_recover
598, 707, 598, 847, 16320867, 5, 9, 109, 213, 69, 801, 950, 294, 296, 4, 263, 109, 0
601, 162, 598, 236, 16323116, 2, 6, 47, 91, 69, 801, 950, 187, 47, 10000000, 10000000, 10000000, 0
601, 162, 598, 280, 16323116, 1, 6, 187, 91, 69, 801, 950, 187, 47, 10000000, 10000000, 10000000, 0
598, 280, 598, 441, 16323700, 1, 7, 85, 187, 69, 801, 950, 85, 220, 21, 138, 124, 0
598, 441, 598, 475, 16324283, 4, 8, 124, 85, 69, 801, 950, 21, 287, 220, 124, 19, 0
598, 441, 598, 520, 16324283, 3, 8, 220, 85, 69, 801, 950, 21, 287, 220, 124, 19, 0
598, 441, 598, 554, 16324283, 2, 8, 287, 85, 69, 801, 950, 21, 287, 220, 124, 19, 0
401, 711, 401, 761, 16324283, 2, 8, 79, 148, 69, 801, 950, 52, 79, 10000000, 10000000, 10000000, 0
401, 711, 398, 847, 16324283, 1, 8, 52, 148, 69, 801, 950, 52, 79, 10000000, 10000000, 10000000, 0
398, 847, 398, 884, 16324867, 2, 9, 163, 52, 69, 801, 950, 31, 163, 282, 208, 10000000, 0
598, 778, 598, 847, 16325450, 2, 10, 109, 296, 69, 801, 950, 217, 109, 175, 6, 10000000, 0
801, 243, 798, 249, 16327700, 4, 7, 40, 274, 69, 801, 950, 58, 120, 227, 40, 10000000, 0
801, 243, 801, 285, 16327700, 3, 7, 227, 274, 69, 801, 950, 58, 120, 227, 40, 10000000, 0
801, 243, 801, 333, 16327700, 2, 7, 120, 274, 69, 801, 950, 58, 120, 227, 40, 10000000, 0
598, 554, 598, 622, 16328866, 4, 9, 19, 287, 69, 801, 950, 263, 4, 213, 19, 185, 0
401, 761, 398, 847, 16328866, 2, 9, 52, 79, 69, 801, 950, 163, 52, 31, 288, 10000000, 0
401, 761, 398, 884, 16328867, 1, 9, 163, 79, 69, 801, 950, 163, 52, 31, 288, 10000000, 0
401, 761, 401, 967, 16328867, 3, 9, 31, 79, 69, 801, 950, 163, 52, 31, 288, 10000000, 0
398, 884, 401, 967, 16329450, 1, 10, 31, 163, 69, 801, 950, 31, 208, 282, 176, 10000000, 0
801, 333, 801, 381, 16332283, 2, 8, 58, 120, 69, 801, 950, 87, 58, 10000000, 10000000, 10000000, 0
801, 333, 798, 440, 16332283, 1, 8, 87, 120, 69, 801, 950, 87, 58, 10000000, 10000000, 10000000, 0
798, 440, 798, 485, 16332867, 3, 9, 140, 87, 69, 801, 950, 238, 37, 140, 273, 228, 0
598, 622, 598, 683, 16341450, 5, 10, 185, 19, 69, 801, 950, 296, 4, 263, 213, 185, 0
598, 622, 598, 707, 16341450, 4, 10, 213, 19, 69, 801, 950, 296, 4, 263, 213, 185, 0
598, 622, 598, 753, 16341450, 3, 10, 263, 19, 69, 801, 950, 296, 4, 263, 213, 185, 0
598, 622, 601, 771, 16341450, 2, 10, 4, 19, 69, 801, 950, 296, 4, 263, 213, 185, 0
598, 622, 598, 778, 16341450, 1, 10, 296, 19, 69, 801, 950, 296, 4, 263, 213, 185, 0
798, 485, 798, 648, 16341450, 4, 10, 37, 140, 69, 801, 950, 165, 238, 125, 37, 273, 0
598, 778, 598, 847, 16342033, 2, 11, 109, 296, 69, 801, 950, 217, 109, 175, 6, 10000000, 0
